year	location_1	location_2	parasite_flow
2012	Pattani	Chai Nat	0
2012	Phangnga	Chai Nat	0
2012	Phatthalung	Chai Nat	0
2012	Phayao	Chai Nat	0
2012	Phetchabun	Chai Nat	0
2012	Phetchaburi	Chai Nat	0
2012	Phichit	Chai Nat	0
2012	Phitsanulok	Chai Nat	0
2012	Phra Nakhon Si Ayutthaya	Chai Nat	0
2012	Phrae	Chai Nat	0
2012	Phuket	Chai Nat	0
2012	Prachin Buri	Chai Nat	0
2012	Prachuap Khiri Khan	Chai Nat	0
2012	Ranong	Chai Nat	0
2012	Ratchaburi	Chai Nat	0
2012	Rayong	Chai Nat	0
2012	Roi Et	Chai Nat	0
2012	Sa Kaeo	Chai Nat	0
2012	Sakon Nakhon	Chai Nat	0
2012	Samut Prakan	Chai Nat	0
2012	Samut Sakhon	Chai Nat	0
2012	Samut Songkhram	Chai Nat	0
2012	Saraburi	Chai Nat	0
2012	Satun	Chai Nat	0
2012	Si Sa Ket	Chai Nat	0
2012	Sing Buri	Chai Nat	0
2012	Songkhla	Chai Nat	0
2012	Sukhothai	Chai Nat	0
2012	Suphan Buri	Chai Nat	0
2012	Surat Thani	Chai Nat	0
2012	Surin	Chai Nat	0
2012	Tak	Chai Nat	0
2012	Trang	Chai Nat	0
2012	Trat	Chai Nat	0
2012	Ubon Ratchathani	Chai Nat	0
2012	Udon Thani	Chai Nat	0
2012	Uthai Thani	Chai Nat	0
2012	Uttaradit	Chai Nat	0
2012	Yala	Chai Nat	0
2012	Yasothon	Chai Nat	0
2012	Amnat Charoen	Chaiyaphum	0
2012	Ang Thong	Chaiyaphum	0
2012	Bangkok	Chaiyaphum	0
2012	Bueng Kan	Chaiyaphum	0
2012	Buri Ram	Chaiyaphum	0
2012	Chachoengsao	Chaiyaphum	0
2012	Chai Nat	Chaiyaphum	0
2012	Chaiyaphum	Chaiyaphum	0
2012	Chanthaburi	Chaiyaphum	0
2012	Chiang Mai	Chaiyaphum	0
2012	Chiang Rai	Chaiyaphum	0
2012	Chon Buri	Chaiyaphum	0
2012	Chumphon	Chaiyaphum	0
2012	Kalasin	Chaiyaphum	0
2012	Kamphaeng Phet	Chaiyaphum	0
2012	Kanchanaburi	Chaiyaphum	0
2012	Khon Kaen	Chaiyaphum	0
2012	Krabi	Chaiyaphum	0
2012	Lampang	Chaiyaphum	0
2012	Lamphun	Chaiyaphum	0
2012	Loei	Chaiyaphum	0
2012	Lop Buri	Chaiyaphum	0
2012	Mae Hong Son	Chaiyaphum	0
2012	Maha Sarakham	Chaiyaphum	0
2012	Mukdahan	Chaiyaphum	0
2012	Nakhon Nayok	Chaiyaphum	0
2012	Nakhon Pathom	Chaiyaphum	0
2012	Nakhon Phanom	Chaiyaphum	0
